OBJECTID,NAME,CITY,STATE,POPULATION,COUNTY,BEDS
2380,SHEPHERD CENTER,ATLANTA,GA,152,FULTON,152
2381,SOUTHERN REGIONAL MEDICAL CENTER,RIVERDALE,GA,331,CLAYTON,331
2382,PHOEBE PUTNEY MEMORIAL HOSPITAL - NORTH CAMPUS,ALBANY,GA,248,DOUGHERTY,248
2383,HIGGINS GENERAL HOSPITAL,BREMEN,GA,25,HARALSON,25
2387,WELLSTAR COBB HOSPITAL,AUSTELL,GA,372,COBB,372
2704,BROOKS COUNTY HOSPITAL,QUITMAN,GA,25,BROOKS,25
2718,"LANDMARK HOSPITAL OF ATHENS, LLC",ATHENS,GA,50,CLARKE,50
2719,"MEDICAL CENTER OF PEACH COUNTY, THE",BYRON,GA,25,PEACH,25
2720,MONROE COUNTY HOSPITAL,FORSYTH,GA,25,MONROE,25
2721,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SAVANNAH,SAVANNAH,GA,50,CHATHAM,50
2723,WELLSTAR SYLVAN GROVE HOSPITAL,JACKSON,GA,25,BUTTS,25
3392,EAST CENTRAL REGIONAL HOSPITAL - GRACEWOOD,NORTH VIEW,GA,0,RICHMOND,0
3395,CHILDREN'S HOSPITAL NAVICENT HEALTH,MACON,GA,112,BIBB,112
3402,CHARLIE NORWOOD VA MEDICAL CENTER,AUGUSTA,GA,0,RICHMOND,0
3437,APPLING HEALTHCARE SYSTEM,BAXLEY,GA,49,APPLING,49
3440,RINCON MEDICAL CENTER,RINCON,GA,0,EFFINGHAM,0
3495,COLISEUM NORTHSIDE HOSPITAL,MACON,GA,103,BIBB,103
3552,IRWIN COUNTY HOSPITAL,OCILLA,GA,34,IRWIN,34
3583,REGENCY HOSPITAL OF SOUTH ATLANTA,EAST POINT,GA,40,FULTON,40
3585,BUCKHEAD AMBULATORY SURGICAL CENTER,ATLANTA,GA,0,FULTON,0
3830,OPTIM MEDICAL CENTER SCREVEN,SYLVANIA,GA,25,SCREVEN,25
3929,GRADY GENERAL HOSPITAL,CAIRO,GA,60,GRADY,60
3930,PEACH REGIONAL MEDICAL CENTER,FORT VALLEY,GA,25,PEACH,25
3931,WASHINGTON COUNTY REGIONAL MEDICAL CENTER,SANDERSVILLE,GA,116,WASHINGTON,116
3932,WELLSTAR ATLANTA MEDICAL CENTER,ATLANTA,GA,762,FULTON,762
3936,EFFINGHAM HOSPITAL,SPRINGFIELD,GA,25,EFFINGHAM,25
3937,ELBERT MEMORIAL HOSPITAL,ELBERTON,GA,52,ELBERT,52
3938,EMANUEL MEDICAL CENTER,SWAINSBORO,GA,72,EMANUEL,72
3939,REDMOND REGIONAL MEDICAL CENTER,ROME,GA,230,FLOYD,230
3941,MORGAN MEMORIAL HOSPITAL,MADISON,GA,25,MORGAN,25
3942,WEST CENTRAL GEORGIA REGIONAL HOSPITAL,COLUMBUS,GA,58,MUSCOGEE,58
3943,UNIVERSITY HEALTH CARE SYSTEM,AUGUSTA,GA,812,RICHMOND,812
3944,LAKE BRIDGE BEHAVIORAL HEALTH SYSTEM,MACON,GA,40,BIBB,40
3945,FLINT RIVER COMMUNITY HOSPITAL,MONTEZUMA,GA,49,MACON,49
3946,GREENLEAF CENTER,VALDOSTA,GA,113,LOWNDES,113
4013,COASTAL HARBOR TREATMENT CENTER,SAVANNAH,GA,121,CHATHAM,121
4014,GEORGIA REGIONAL HOSPITAL,SAVANNAH,GA,262,CHATHAM,262
4035,BLECKLEY MEMORIAL HOSPITAL,COCHRAN,GA,25,BLECKLEY,25
4037,HOUSTON MEDICAL CENTER,WARNER ROBINS,GA,237,HOUSTON,237
4038,"NORTHEAST GEORGIA MEDICAL CENTER, INC",GAINESVILLE,GA,657,HALL,657
4039,PIEDMONT HENRY HOSPITAL,STOCKBRIDGE,GA,215,HENRY,215
4040,PIEDMONT WALTON HOSPITAL INC,MONROE,GA,77,WALTON,77
4041,SOUTH GEORGIA MEDICAL CENTER,VALDOSTA,GA,330,LOWNDES,330
4042,COLISEUM PSYCHIATRIC HOSPITAL,MACON,GA,60,BIBB,60
4043,DODGE COUNTY HOSPITAL,EASTMAN,GA,94,DODGE,94
4044,EMORY UNIV HOSPITAL- EMORY UNIV ORTHO,TUCKER,GA,120,DEKALB,120
4045,CLINCH MEMORIAL HOSPITAL,HOMERVILLE,GA,25,CLINCH,25
4046,WELLSTAR SPALDING REGIONAL HOSPITAL,GRIFFIN,GA,160,SPALDING,160
4047,EMORY UNIVERSITY HOSPITAL MIDTOWN,ATLANTA,GA,529,FULTON,529
4048,NORTHSIDE HOSPITAL DULUTH,DULUTH,GA,122,GWINNETT,122
4049,HUGHES SPALDING CHILDREN'S HOSPITAL,ATLANTA,GA,24,DEKALB,24
4050,NAVICENT HEALTH BALDWIN,MILLEDGEVILLE,GA,140,BALDWIN,140
4051,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,BRUNSWICK,GA,300,GLYNN,300
4052,SUMMITRIDGE CENTER- PSYCHIATRY & ADDICTIVE MED,LAWRENCEVILLE,GA,96,GWINNETT,96
4053,TAYLOR REGIONAL HOSPITAL,HAWKINSVILLE,GA,49,PULASKI,49
4054,WAYNE MEMORIAL HOSPITAL,JESUP,GA,88,WAYNE,88
4056,MEADOWS REGIONAL MEDICAL CENTER,VIDALIA,GA,57,TOOMBS,57
4057,WELLSTAR WEST GEORGIA MEDICAL CENTER,LAGRANGE,GA,276,TROUP,276
4065,CARL VINSON VA MEDICAL CENTER,DUBLIN,GA,178,LAURENS,178
4188,LOWER CONEE COMMUNITY HOSPITAL,GLENWOOD,GA,25,WHEELER,25
4189,ADVENTHEALTH GORDON HOSPITAL,CALHOUN,GA,69,GORDON,69
4190,GRADY MEMORIAL HOSPITAL,ATLANTA,GA,953,FULTON,953
4191,SAINT JOSEPHS HOSPITAL OF ATLANTA,SANDY SPRINGS,GA,410,FULTON,410
4192,PIEDMONT NEWNAN HOSPITAL,NEWNAN,GA,136,COWETA,136
4193,WELLSTAR KENNESTONE HOSPITAL,MARIETTA,GA,633,COBB,633
4194,WELLSTAR WINDY HILL HOSPITAL,MARIETTA,GA,115,COBB,115
4195,NORTHSIDE HOSPITAL FORSYTH,CUMMING,GA,304,FORSYTH,304
4196,FLOYD MEDICAL CENTER,ROME,GA,284,FLOYD,284
4197,FLOYD MEDICAL CENTER,ROME,GA,54,FLOYD,54
4198,ST FRANCIS HOSPITAL,COLUMBUS,GA,376,MUSCOGEE,376
4199,DONALSONVILLE HOSPITAL,DONALSONVILLE,GA,65,SEMINOLE,65
4200,CHILDRENS HEALTHCARE OF ATLANTA - EGLESTON,DRUID HILLS,GA,300,DEKALB,300
4201,EMORY HILLANDALE HOSPITAL,LITHONIA,GA,100,DEKALB,100
4202,WELLSTAR DOUGLAS HOSPITAL,DOUGLASVILLE,GA,102,DOUGLAS,102
4441,COASTAL BEHAVIORAL HEALTH,SAVANNAH,GA,50,CHATHAM,50
4606,DORMINY MEDICAL CENTER,FITZGERALD,GA,75,BEN HILL,75
4660,ST SIMONS BY-THE-SEA HOSPITAL,ST. SIMONS,GA,101,GLYNN,101
4661,SELECT SPECIALTY HOSPITAL - SAVANNAH,SAVANNAH,GA,40,CHATHAM,40
4665,OPTIM MEDICAL CENTER TATTNALL,REIDSVILLE,GA,25,TATTNALL,25
4666,EAST GEORGIA REGIONAL MEDICAL CENTER,STATESBORO,GA,150,BULLOCH,150
4667,TRINITY HOSPITAL OF AUGUSTA,AUGUSTA,GA,231,RICHMOND,231
4668,EAST CENTRAL REGIONAL HOSPITAL,AUGUSTA,GA,355,RICHMOND,355
4669,SELECT SPECIALTY HOSPITAL - AUGUSTA,AUGUSTA,GA,80,RICHMOND,80
4671,FAIRVIEW PARK HOSPITAL,DUBLIN,GA,190,LAURENS,190
4672,MEMORIAL HOSPITAL AND MANOR,BAINBRIDGE,GA,80,DECATUR,80
4674,WILLS MEMORIAL HOSPITAL,WASHINGTON,GA,25,WILKES,25
4684,WALTON REHABILITATION HOSPITAL,AUGUSTA,GA,60,RICHMOND,60
4693,HILLSIDE HOSPITAL,ATLANTA,GA,81,FULTON,81
4694,PIEDMONT HOSPITAL,ATLANTA,GA,488,FULTON,488
4695,NORTHSIDE HOSPITAL,ATLANTA,GA,621,FULTON,621
5281,EMORY UNIVERSITY HOSPITAL SMYRNA,SMYRNA,GA,88,COBB,88
5284,CALHOUN MEMORIAL HOSPITAL,ARLINGTON,GA,25,CALHOUN,25
5285,BACON COUNTY HOSPITAL,ALMA,GA,25,BACON,25
5295,LAKEVIEW BEHAVIORAL HEALTH SYSTEM,NORCROSS,GA,90,GWINNETT,90
5296,LANDMARK HOSPITAL OF SAVANNAH,SAVANNAH,GA,50,CHATHAM,50
5297,MITCHELL COUNTY HOSPITAL,CAMILLA,GA,23,MITCHELL,23
5301,TANNER MEDICAL CENTER VILLA RICA,VILLA RICA,GA,145,CARROLL,145
5302,UNIVERSITY HOSPITAL MCDUFFIE,THOMSON,GA,47,MCDUFFIE,47
5464,COOK MEDICAL CENTER,ADEL,GA,60,COOK,60
5465,LIGHTHOUSE CARE CENTER OF AUGUSTA,AUGUSTA,GA,14,RICHMOND,14
5466,COLISEUM MEDICAL CENTERS,MACON,GA,310,BIBB,310
5467,LIBERTY REGIONAL MEDICAL CENTER,HINESVILLE,GA,25,LIBERTY,25
5468,STEPHENS COUNTY HOSPITAL,TOCCOA,GA,96,STEPHENS,96
5481,COFFEE REGIONAL MEDICAL CENTER,DOUGLAS,GA,88,COFFEE,88
5482,REHABILITATION HOSPITAL NAVICENT HEALTH,MACON,GA,58,BIBB,58
5483,WILDWOOD LIFESTYLE CENTER AND HOSPITAL,WILDWOOD,GA,13,DADE,13
5484,EMORY UNIVERSITY HOSPITAL,DRUID HILLS,GA,605,DEKALB,605
5485,PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,691,DOUGHERTY,691
5803,NORTH GEORGIA MEDICAL CENTER,ELLIJAY,GA,50,GILMER,50
5804,AU MEDICAL CENTER,AUGUSTA,GA,632,RICHMOND,632
5806,SO CRESCENT BEH HLTH SYS - ANCHOR HOSPITAL CAMPUS,COLLEGE PARK,GA,122,CLAYTON,122
5815,PIEDMONT COLUMBUS REGIONAL MIDTOWN,COLUMBUS,GA,583,MUSCOGEE,583
5823,EMORY REHABILITATION HOSPITAL,ATLANTA,GA,56,DEKALB,56
5829,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NEWNAN,NEWNAN,GA,50,COWETA,50
5830,MEDICAL CENTER NAVICENT HEALTH,MACON,GA,637,BIBB,637
5831,WELLSTAR NORTH FULTON HOSPITAL,ROSWELL,GA,202,FULTON,202
5832,ST MARY'S GOOD SAMARITAN HOSPITAL,GREENSBORO,GA,25,GREENE,25
5835,ST MARY'S GOOD SAMARITAN HOSPITAL,GREENSBORO,GA,49,GREENE,49
5836,ST MARY'S SACRED HEART HOSPITAL INC,LAVONIA,GA,56,FRANKLIN,56
5842,WELLSTAR PAULDING HOSPITAL,HIRAM,GA,83,PAULDING,83
6418,FANNIN REGIONAL HOSPITAL,BLUE RIDGE,GA,50,FANNIN,50
6516,CHI MEMORIAL HOSPITAL-GEORGIA,FORT OGLETHORPE,GA,179,CATOOSA,179
6517,SELECT SPECIALTY HOSPITAL - MIDTOWN ATLANTA,ATLANTA,GA,72,FULTON,72
6518,PRIDE MEDICAL,ATLANTA,GA,64,FULTON,64
6519,SOUTHWESTERN STATE HOSPITAL,THOMASVILLE,GA,400,THOMAS,400
6520,PIEDMONT NEWTON HOSPITAL,COVINGTON,GA,101,NEWTON,101
6521,WILLINGWAY HOSPITAL,STATESBORO,GA,40,BULLOCH,40
6522,BURKE MEDICAL CENTER,WAYNESBORO,GA,40,BURKE,40
6523,SOUTHEAST GEORGIA HEALTH SYSTEM - CAMDEN CAMPUS,ST. MARYS,GA,40,CAMDEN,40
6525,SMITH NORTHVIEW HOSPITAL,VALDOSTA,GA,45,LOWNDES,45
6526,NORTHRIDGE MEDICAL CENTER,COMMERCE,GA,90,JACKSON,90
6527,TY COBB HEALTHCARE SYSTEM - HART COUNTY HOSPITAL,HARTWELL,GA,82,HART,82
6665,WINN ARMY COMMUNITY HOSPITAL,FORT STEWART,GA,39,LIBERTY,39
6875,HAMILTON MEDICAL CENTER,DALTON,GA,282,WHITFIELD,282
6876,MARTIN ARMY COMMUNITY HOSPITAL,FORT BENNING,GA,57,CHATTAHOOCHEE,57
6877,CRISP REGIONAL HOSPITAL,CORDELE,GA,73,CRISP,73
6878,PERRY HOSPITAL,PERRY,GA,39,HOUSTON,39
7344,JOHN D ARCHBOLD MEMORIAL HOSPITAL,THOMASVILLE,GA,264,THOMAS,264
7345,DOCTORS HOSPITAL,AUGUSTA,GA,354,RICHMOND,354
7495,MOUNTAIN LAKES MEDICAL CENTER,CLAYTON,GA,25,RABUN,25
7496,MORGAN MEDICAL CENTER,MADISON,GA,25,MORGAN,25
7509,NORTHEAST GEORGIA MEDICAL CENTER BARROW,WINDER,GA,56,BARROW,56
7510,CENTRAL STATE HOSPITAL PSYCHIATRIC,MILLEDGEVILLE,GA,225,BALDWIN,225
7511,PHOEBE WORTH MEDICAL CENTER,SYLVESTER,GA,25,WORTH,25
7512,TURNING POINT HOSPITAL,MOULTRIE,GA,69,COLQUITT,69
7551,GLANCYREHABILITATION HOSPITAL,DULUTH,GA,0,GWINNETT,0
7552,DEVEREUX TREATMENT NETWORK,KENNESAW,GA,100,COBB,100
7553,WELLSTAR PAULDING HOSPITAL,HIRAM,GA,216,PAULDING,216
7554,EMORY DUNWOODY MEDICAL CENTER,ATLANTA,GA,168,DEKALB,168
7555,BRADLEY CENTER OF SAINT FRANCIS,COLUMBUS,GA,0,MUSCOGEE,0
7556,SGMC LANIER CAMPUS,LAKELAND,GA,25,LANIER,25
3450,GUAM REGIONAL MEDICAL CITY,DEDEDO,GU,0,GUAM,0
6338,GUAM MEMORIAL HOSPITAL AUTHORITY,TAMUNING,GU,158,GUAM,158
6545,NAVAL HOSPITAL GUAM,AGANA HEIGHTS,GU,0,GUAM,0
726,KAHUKU MEDICAL CENTER,KAHUKU,HI,21,HONOLULU,21
737,NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,33,HAWAII,33
774,SHRINERS HOSPITAL FOR CHILDREN,HONOLULU,HI,16,HONOLULU,16
1363,SPARK M. MATSUNAGA VA MEDICAL CENTER,HONOLULU,HI,92,HONOLULU,92
1575,KAISER FOUNDATION HOSPITAL,HONOLULU,HI,235,HONOLULU,235
1576,KONA COMMUNITY HOSPITAL,KEALAKEKUA,HI,94,HAWAII,94
1577,KUAKINI MEDICAL CENTER,HONOLULU,HI,94,HONOLULU,94
1605,MOLOKAI GENERAL HOSPITAL,KAUNAKAKAI,HI,15,MAUI,15
1606,KAPIOLANI MEDICAL CENTER,HONOLULU,HI,225,HONOLULU,225
1607,PALI MOMI MEDICAL CENTER,AIEA,HI,126,HONOLULU,126
1646,WAHIAWA GENERAL HOSPITAL,WAHIAWA,HI,160,HONOLULU,160
1647,KAHI MOHALA,EWA BEACH,HI,66,HONOLULU,66
1649,HILO MEDICAL CENTER,HILO,HI,276,HAWAII,276
1880,TRIPLER ARMY MEDICAL CENTER,HONOLULU,HI,450,HONOLULU,450
3718,CASTLE MEDICAL CENTER,KAILUA,HI,160,HONOLULU,160
3836,KOHALA HOSPITAL,KAPAAU,HI,28,HAWAII,28
3852,LANAI COMMUNITY HOSPITAL,LANAI CITY,HI,24,MAUI,24
3853,LEAHI HOSPITAL,HONOLULU,HI,164,HONOLULU,164
3854,REHABILITATION HOSPITAL OF THE PACIFIC,HONOLULU,HI,66,HONOLULU,66
4381,HALE HO'OLA HAMAKUA,HONOKAA,HI,52,HAWAII,52
4585,HAWAII MEDICAL CENTER EAST,HONOLULU,HI,240,HONOLULU,240
4632,QUEENS MEDICAL CENTER,HONOLULU,HI,495,HONOLULU,495
4636,KAU HOSPITAL,PAHALA,HI,21,HAWAII,21
6460,KULA HOSPITAL,KULA,HI,6,MAUI,6
6461,HAWAII MEDICAL CENTER WEST,EWA BEACH,HI,102,HONOLULU,102
6462,SAMUEL MAHELONA MEMORIAL HOSPITAL,KAPAA,HI,80,KAUAI,80
6490,STRAUB CLINIC AND HOSPITAL,HONOLULU,HI,111,HONOLULU,111
6491,HAWAII STATE HOSPITAL,KANEOHE,HI,178,HONOLULU,178
6682,WILCOX MEMORIAL HOSPITAL,LIHUE,HI,64,KAUAI,64
6975,KAUAI VETERANS MEMORIAL HOSPITAL,WAIMEA,HI,20,KAUAI,20
7346,MAUI MEMORIAL MEDICAL CENTER,WAILUKU,HI,213,MAUI,213
128,DECATUR COUNTY HOSPITAL,LEON,IA,25,DECATUR,25
775,MENTAL HEALTH INSTITUTE,CLARINDA,IA,35,PAGE,35
776,CHI HEALTH MERCY HOSPITAL,COUNCIL BLUFFS,IA,278,POTTAWATTAMIE,278
920,ALEGENT HEALTH COMMUNITY MEMORIAL HOSPITAL,MISSOURI VALLEY,IA,25,HARRISON,25
1107,GREATER REGIONAL MEDICAL CENTER,CRESTON,IA,25,UNION,25
1153,MARIAN BEHAVIORAL HEALTH CENTER,SIOUX CITY,IA,0,WOODBURY,0
1217,SELECT SPECIALTY HOSPITAL-QUAD CITIES,DAVENPORT,IA,50,SCOTT,50
1239,ALLEN MEMORIAL HOSPITAL,WATERLOO,IA,12,BLACK HAWK,12
1419,GENESIS MEDICAL CENTER-DEWITT,DEWITT,IA,90,CLINTON,90
1420,STORY COUNTY HOSPITAL,NEVADA,IA,17,STORY,17
1421,SANFORD ROCK RAPIDS MEDICAL CENTER,ROCK RAPIDS,IA,25,LYON,25
1650,CHEROKEE MENTAL HEALTH INSTITUTE,CHEROKEE,IA,58,CHEROKEE,58
1651,SANFORD SHELDON MEDICAL CENTER,SHELDON,IA,25,O'BRIEN,25
1652,MERCY MEDICAL CENTER-CLINTON,CLINTON,IA,175,CLINTON,175
1653,CENTRAL COMMUNITY HOSPITAL,ELKADER,IA,25,CLAYTON,25
1654,MARENGO MEMORIAL HOSPITAL,MARENGO,IA,25,IOWA,25
1655,NORTH IOWA MEDICAL CENTER WEST CAMPUS,MASON CITY,IA,240,CERRO GORDO,240
1656,MENTAL HEALTH INSTITUTE,MOUNT PLEASANT,IA,78,HENRY,78
1763,AVERA HOLY FAMILY HOSPITAL,ESTHERVILLE,IA,25,EMMET,25
1764,MERCY MEDICAL CENTER-DYERSVILLE,DYERSVILLE,IA,25,DUBUQUE,25
1765,FLOYD COUNTY MEMORIAL HOSPITAL,CHARLES CITY,IA,25,FLOYD,25
1773,FORT MADISON COMMUNITY HOSPITAL,FORT MADISON,IA,50,LEE,50
1774,STORY COUNTY HOSPITAL NORTH,NEVADA,IA,17,STORY,17
1775,STORY CITY MEMORIAL HOSPITAL,STORY CITY,IA,25,STORY,25
1776,TRINITY REGIONAL HOSPITAL,FORT DODGE,IA,200,WEBSTER,200
1777,HANSEN FAMILY HOSPITAL,IOWA FALLS,IA,35,HARDIN,35
1778,JONES REGIONAL MEDICAL CENTER,ANAMOSA,IA,22,JONES,22
1779,PELLA REGIONAL HEALTH CENTER,PELLA,IA,25,MARION,25
1780,SIOUX CENTER HEALTH,SIOUX CENTER,IA,21,SIOUX,21
1990,PALO ALTO COUNTY HOSPITAL,EMMETSBURG,IA,47,PALO ALTO,47
2003,BURGESS MEMORIAL HOSPITAL,ONAWA,IA,25,MONONA,25
2011,ST. LUKES'S REGIONAL MEDICAL CENTER,SIOUX CITY,IA,346,WOODBURY,346
2017,BROADLAWNS MEDICAL CENTER,DES MOINES,IA,200,POLK,200
2018,MERCY FRANKLIN CENTER,DES MOINES,IA,18,POLK,18
2022,GENESIS MEDICAL CENTER-DAVENPORT,DAVENPORT,IA,502,SCOTT,502
2023,LUCAS COUNTY HEALTH CENTER,CHARITON,IA,25,LUCAS,25
2415,MERCY MEDICAL CENTER-NEW HAMPTON,NEW HAMPTON,IA,18,CHICKASAW,18
2416,CLARKE COUNTY PUBLIC HOSPITAL,OSCEOLA,IA,25,CLARKE,25
2422,GRINNELL GENERAL HOSPITAL,GRINNELL,IA,49,POWESHIEK,49
2423,ORANGE CITY MUNICIPAL HOSPITAL,ORANGE CITY,IA,104,SIOUX,104
2424,UNITY POINT HEALTH TRINITY,BETTENDORF,IA,139,SCOTT,139
2425,GREAT RIVER MEDICAL CENTER,WEST BURLINGTON,IA,213,DES MOINES,213
2426,BOONE COUNTY HOSPITAL,BOONE,IA,42,BOONE,42
2427,KNOXVILLE AREA COMMUNITY HOSPITAL,KNOXVILLE,IA,25,MARION,25
2428,HAWARDEN REGIONAL HEALTHCARE,HAWARDEN,IA,25,SIOUX,25
2598,GLENWOOD STATE HOSPITAL SCHOOL,GLENWOOD,IA,851,MILLS,851
3042,VA CENTRAL IOWA HEALTHCARE SYSTEM,DES MOINES,IA,51,POLK,51
3423,FRANKLIN GENERAL HOSPITAL,HAMPTON,IA,25,FRANKLIN,25
3438,MANNING REGIONAL HEALTHCARE,MANNING,IA,17,CARROLL,17
3547,SELECT SPECIALTY HOSPITAL - DES MOINES,DES MOINES,IA,21,POLK,21
3578,CONTINUING CARE HOSPITAL,CEDAR RAPIDS,IA,24,LINN,24
3878,REGIONAL HEALTH SERVICES OF HOWARD COUNTY,CRESCO,IA,19,HOWARD,19
4242,IOWA CITY VA MEDICAL CENTER,IOWA CITY,IA,93,JOHNSON,93
4561,FLOYD VALLEY HOSPITAL,LE MARS,IA,25,PLYMOUTH,25
4598,GENESIS MEDICAL CENTER WEST-DAVENPORT,DAVENPORT,IA,502,SCOTT,502
4637,MERCY MEDICAL CENTER-NORTH IOWA,MASON CITY,IA,346,CERRO GORDO,346
4638,SHENANDOAH MEMORIAL HOSPITAL,SHENANDOAH,IA,25,PAGE,25
4639,ST. LUKE'S METHODIST HOSPITAL,CEDAR RAPIDS,IA,540,LINN,540
4640,SKIFF MEDICAL CENTER,NEWTON,IA,68,JASPER,68
4641,BUCHANAN COUNTY HEALTH CENTER,INDEPENDENCE,IA,25,BUCHANAN,25
4642,HENRY COUNTY HEALTH CENTER,MOUNT PLEASANT,IA,74,HENRY,74
4643,KEOKUK COUNTY HEALTH CENTER,SIGOURNEY,IA,25,KEOKUK,25
4644,METHODIST JENNIE EDMUNDSON,COUNCIL BLUFFS,IA,236,POTTAWATTAMIE,236
4645,DAVIS COUNTY HOSPITAL,BLOOMFIELD,IA,25,DAVIS,25
4646,GEORGE C GRAPE COMMUNITY HOSPITAL,HAMBURG,IA,25,FREMONT,25
4648,GRUNDY COUNTY MEMORIAL HOSPITAL,GRUNDY CENTER,IA,80,GRUNDY,80
4649,GUTTENBERG MUNICIPAL HOSPITAL,GUTTENBERG,IA,25,CLAYTON,25
4650,HANCOCK COUNTY HEALTH SYSTEM,BRITT,IA,25,HANCOCK,25
4696,TRINITY MUSCATINE,MUSCATINE,IA,48,MUSCATINE,48
4719,BAUM-HARMON MEMORIAL HOSPITAL,PRIMGHAR,IA,25,O'BRIEN,25
4720,CHI HEALTH - MERCY CORNING,CORNING,IA,22,ADAMS,22
4721,STEWART MEMORIAL COMMUNITY HOSPITAL,LAKE CITY,IA,25,CALHOUN,25
4722,ADAIR COUNTY MEMORIAL HOSPITAL,GREENFIELD,IA,25,ADAIR,25
4724,MARY GREELEY MEDICAL CENTER,AMES,IA,220,STORY,220
4725,WAVERLY MUNICIPAL HOSPITAL,WAVERLY,IA,25,BREMER,25
4726,REGIONAL MEDICAL CENTER,MANCHESTER,IA,25,DELAWARE,25
4727,JACKSON COUNTY PUBLIC HOSPITAL,MAQUOKETA,IA,25,JACKSON,25
4728,CHEROKEE REGIONAL MEDICAL CENTER,CHEROKEE,IA,25,CHEROKEE,25
4729,DALLAS COUNTY HOSPITAL,PERRY,IA,25,DALLAS,25
4730,MAHASKA HEALTH PARTNERSHIP,OSKALOOSA,IA,33,MAHASKA,33
5107,MERCY MEDICAL CENTER SIOUX CITY,SIOUX CITY,IA,484,WOODBURY,484
5196,COVENANT MEDICAL CENTER,WATERLOO,IA,346,BLACK HAWK,346
5199,OTTUMWA REGIONAL HEALTH CENTER,OTTUMWA,IA,217,WAPELLO,217
5459,SPENCER MUNICIPAL HOSPITAL,SPENCER,IA,99,CLAY,99
5460,MENTAL HEALTH INSITUTE HOSPITAL,INDEPENDENCE,IA,95,BUCHANAN,95
5461,UNITYPOINT HEALTHCARE-FINLEY HOSPITAL,DUBUQUE,IA,142,DUBUQUE,142
5462,MERCY MEDICAL CENTER-DES MOINES,DES MOINES,IA,656,POLK,656
5491,MERCY MEDICAL CENTER-DUBUQUE,DUBUQUE,IA,303,DUBUQUE,303
5492,CASS COUNTY MEMORIAL HOSPITAL,ATLANTIC,IA,33,CASS,33
5493,IOWA LUTHERAN HOSPITAL,DES MOINES,IA,224,POLK,224
5494,IOWA METHODIST MEDICAL CENTER,DES MOINES,IA,460,POLK,460
5495,KEOKUK AREA HOSPITAL,KEOKUK,IA,71,LEE,71
5496,HORN MEMORIAL HOSPITAL,IDA GROVE,IA,25,IDA,25
5497,JEFFERSON COUNTY HEALTH CENTER,FAIRFIELD,IA,25,JEFFERSON,25
5498,VETERANS MEMORIAL HOSPITAL,WAUKON,IA,25,ALLAMAKEE,25
5499,CRAWFORD COUNTY MEMORIAL HOSPITAL,DENISON,IA,25,CRAWFORD,25
5500,MERCY MEDICAL CENTER WEST LAKES,WEST DES MOINES,IA,146,POLK,146
5501,METHODIST WEST HOSPITAL,WEST DES MOINES,IA,95,POLK,95
5502,VAN BUREN COUNTY HOSPITAL,KEOSAUQUA,IA,25,VAN BUREN,25
5503,IOWA MEDICAL AND CLASSIFICATION CENTER,CORALVILLE,IA,46,JOHNSON,46
5504,DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,KNOXVILLE,IA,0,MARION,0
5505,OSCEOLA COMMUNITY HOSPITAL,SIBLEY,IA,25,OSCEOLA,25
5506,CLARINDA REGIONAL HEALTH CENTER,CLARINDA,IA,25,PAGE,25
5507,POCAHONTAS COMMUNITY HOSPITAL,POCAHONTAS,IA,25,POCAHONTAS,25
5508,RINGGOLD COUNTY HOSPITAL,MOUNT AYR,IA,16,RINGGOLD,16
5509,MYRTUE MEMORIAL HOSPITAL,HARLAN,IA,25,SHELBY,25
5510,HEGG MEMORIAL HEALTH CENTER,ROCK VALLEY,IA,25,SIOUX,25
5511,ORANGE CITY AREA HEALTH SYSTEM,ORANGE CITY,IA,25,SIOUX,25
5512,IOWA SPECIALTY HOSPITAL-CLARION,CLARION,IA,25,WRIGHT,25
5513,IOWA SPECIALTY HOSPITAL - BELMOND,BELMOND,IA,22,WRIGHT,22
5514,WASHINGTON COUNTY HOSPITAL,WASHINGTON,IA,25,WASHINGTON,25
5515,WAYNE COUNTY HOSPITAL,CORYDON,IA,25,WAYNE,25
5516,WINNESHIEK COUNTY MEMORIAL HOSPITAL,DECORAH,IA,25,WINNESHIEK,25
5576,LORING HOSPITAL,SAC CITY,IA,25,SAC,25
5577,KOSSUTH COUNTY HOSPITAL,ALGONA,IA,25,KOSSUTH,25
5578,ST. ANTHONY'S REGIONAL HOSPITAL,CARROLL,IA,99,CARROLL,99
5579,BUENA VISTA REGIONAL MEDICAL CENTER,STORM LAKE,IA,35,BUENA VISTA,35
5583,MONTGOMERY COUNTY MEMORIAL HOSPITAL,RED OAK,IA,25,MONTGOMERY,25
5584,AUDUBON COUNTY MEMORIAL HOSPITAL,AUDUBON,IA,25,AUDUBON,25
5589,LAKES REGIONAL HEALTHCARE,SPIRIT LAKE,IA,49,DICKINSON,49
5601,GREENE COUNTY MEDICAL CENTER,JEFFERSON,IA,25,GREENE,25
